|||||||DEATHS|OCCURRING IN-|||||
89|107|112|113|107|'116|119|83|62|27|17|13|4|2|2|21 8
745|886|894|945|1.025|1.078|1.272|1.391|1.460|1.455|1.032|615|234|55|12|2
60|61|58|54|69|53|78|53|57|39|25|16|12|4|12|1 y
546|587|552|566|634|650|760|717|755|596|467|235|67|27|4|12
37|27|30|24|18|15|14|21|8|3|9|5|3|1|1|1 1210
279|297|268|303|320|389|390|356|353|277|231|114|29|8|2|2 R.
24|19|23|17|11|10|10|14|4|2|6|3|1||1|"I |}"
267|290|284|263|314|311|370|361|402|319|236|121|38|19|2|10 K.
13|8|7|7|7|5|4|7|4|1|3|2|2|1||1>12
528|564|601|778|856|985|1.194|1.168|1.270|1.183|819|493|173|56|5|6
21|35|25|26|17|21|17|23|16|22|8|7||||1 1718
416|454|458|630|664|775|864|854|903|771|497|283|102|31|2|2
17|31|22|25|15|16|14|16|14|16|5|4||||>19
112|110|143|143|192|210|330|314|367|412|322|210|71|25|3|4 K.
4|4|3|1|2|5|3|7|2|6|3|3||||1 1220
68|72|81|78|112|133|178|210|221|208|165|65|30|2|2|
18|25|43|25|38|27|48|19|39|22|7|6|2|2|2|1210
35|38|47|47|67|73|90|98|92|80|55|22|12||1|If
10|11|13|6|14|12|12|7|11|6||1|1|1|1|AY
33|34|34|31|45|60|88|112|129|128|110|43|18|2|1|If
8|14|80|19|24|15|36|12|28|16|7|5|1|1|1|248
222|271|319|330|377|380|465|577|578|509|364|142|63|9|4|48
305|368|837|361-|287|210|169|151|149|102|65|41|24|17|29|51
74|79|116|121|141|123|145|189|135|125|80|46|14|2||7K..
127|152|122|143|86|65|57|41|29|17|17|5|4|2|4|1120
148|192|203|209|236|257|320|388|443|384|284|96|49|7|4|41 Km
178|216|215|218|201|145|112|110|120|85|48|36|20|15|25|48 12
2,488|2,810|2,832|3,284|3,869|4,243|5,112|4,994|5,091|4.698|3,614|2,146|720|158|22|10
228|313|253|282|228|178|162|144|114|85|55|25|13|5|11|1 I/S
1,706|1,933|1,897|2,259|2,632|2,865|3,215|2.849|2,605|2,206|1,557|902|299|69|8|2 11.
186|260|203|229|199|131|113|106|81|45|29|18|5||5|I 1723
782|877|935|1,025|1,237|1,378|1,897|2,145|2,486|2,492|2,057|1,244|421|89|14|8
42|53|50|53|29|47|49|38|33|40|26|7|8|5|6|>Za
1,012|1,098|1,099|1,247|1,595|1,846|2,421|2,804|3,131|2,938|2,262|1,150|375|75|6|15
83|119|119|89|101|84|82|59|76|35|31|22|5|4|6|617
518|561|524|613|715|785|951|1.028|1,026|875|611|323|105|18|1|1 K
70|104|107|72|81|63|59|42|49|19|16|12|3|3|4|
494|537|575|634|880|1,061|1,470|1,776|.105|2,063|1,651|827|270|57|5|14 K
13|15|12|17|20|21|23|17|27|16|15|10|2|1|2|5 1ya
449|536|588|673|702|824|1.091|1.345|1.557|1,649|1.250|657|240|55|3|14
49|76|63|62|55|66|64|47|56|49|43|23|7|4|10|2 1228
149|157|188|246|227|280|334|363|382|365|269|148|42|16|1|416
34|46|43|43|34|48|42|26|29|22|22|14|3|4|3|>29
300|379|350|427|475|544|757|982|1,175|1.284|981|509|198|39|2|10 14.
15|30|20|19|21|18|22|21|27|27|21|9|4||7|2 12au
690|741|729|793|870|973|1,357|1.435|1,539|1,565|1.100|548|190|38|7|31
200|240|225|260|275|248|245|193|181|147|105|83|36|17|28|4017°S
186|208|221|257|264|323|436|407|378|386|256|108|37|5||2 11 .
|||||||||||||||
79|103|104|124|136|105|106|71|58|41|20|16|4|4|7|417
504|533|508|536|606|650|921|1,028|1,161|1,179|844|440|153|33|7|29 K
121|137|121|136|139|143|139|122|123|106|85|67|32|13|16|36
376|472|469|502|576|554|719|760|673|549|383|233|45|27|4|14
515|605|542|596|546|361|381|378|379|295|253|146|97|66|71|27
218|261|286|299|354|341|424|426|330|285|159|109|15|8|2|3 l'
225|280|255|270|274|167|159|116|105|73|57|32|11|15|6|4
158|211|183|203|222|213|295|334|343|264|224|124|30|19|2|11 lína
290|325|287|326|272|194|222|262|274|222|196|114|86|51|65|23
265|265|313|387|497|586|792|898|1,013|1,126|887|544|205|34|7|3 Ilon
1|3||1||2||4|1|1|1||1|1||(or
104|108|140|156|186|211|257|270|268|275|200|115|39|5||log
1|2||1|||||||1||1|||you
161|157|173|231|311|375|585|628|745|851|687|429|166|29|7|3 lien
|1||||2||4|1|1||||1||

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years.|8 years.|4 years.|Under 5 years.|5 to 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.
1|REGISTRATION STATES-Continued. Maryland White|15,135|2,419|891|164|114|80|3,168|276|219|316|442|448
|Colored.|4,845|1,043|208|77|50|25|1,403|99|88|196|262|226
2|Cities White Colored|9,084 2,429|1,400 392|256 81|93 35|68 22|57 9|1,874 539|166 88|131 39|170 80|267 143|279 160
3|Rural districts White|6,051|1,019|135|71|46|23|1,294|110|88|146|175|169
|Colored|2,416 Il|651|127|42|28|16|864|61|49|116|119|66
|White Massachusetts|46,899|6,865|1,126|514|389|311|9,205|1,065|656|823|1,083|1,837
4|Colored.|888|141|53|17|6|8|225|20|14|21|47|51
5|Cities White|37.767|5,846|980|441|356|281|7.904|929|539|666|885|1,105
|Colored.|759|123|46|13|5|7|194|Il 17|9|20|42|42
6|Rural districts White|9,132|1,019|146|73|33|I 30|1,301|II 136|117|157|198|232
|Colored.|129|18|7|4|1|1|31|3|5|1|5|9
7|Michigan White|42.836|7,387|1,065|572|442|359|9,775|1,296|811|992|1,152|1,384
|Colored.|1.296|234|59|19|12|4|328|20|34|42|110|105
8|Cities White|20,941|4,077|635|323|248|202 II|5,485|II 745|376|499|634|861
|Colored.|944 Il|184|44|15|8|3|Il 254|la 12|21|26|83|84
9|Rural districts White|21,895|3,260|430|249|194|157 Il|4,290 Il|551|435|493|518|523
|Colored.|352|50|15|4|4|1|Il 74|Il 8|13|16|27|21
10|Minnesota White|22,533|3.340|393|256|186|164|4,339|594|439|612|786|838
|Colored|273|41|12|1|3|1 11|58 Il|11|6|18|17|11
11|Cities White Colored.|9.654 Il|1.198|148|116|88|75 Il|1.625 Il|281|160|235|344|440
|White|139|7|2||||91|1|8|12|12|8
12|Rural districts (Colored.|12,879 Il|2.142|245|140|98|89 Il|2,714|Il 313|279|377|392|398
||134|34|10|1|3|1|49|10|3|6|5|3
13|Mississippi White Colored|7.325|1,243|298|191|114|89|1,985|237|176|236|247|198
|White|12,625|1,914|395|209|145|106 Il|2,769|425|363|730|930|744
14|Cities Colored|1,178|133|46|21|12|7 Il|219 Il|18|36|46|53|41
|White|1,813|206|43|16|9|2|276|27|38|99|154|121
15|Rural districts Colored.|6,147|1,110|252|170|102|82 Il|1,716|219|140|190|194|157
||10,812|1,708|352|193|136|104|2,493 Il|398|825|631|776|623
16|Missouri White Colored|33,661|4,218|852|431|364|270|6,135|959|663|824|995|1,094
|White|3.410|879|77|20|21|15|521 Il|50|72|124|207|210
17|Cities Colored.|15,763|1.781|285|149|139|108 Il|2,462|416|291|380|513|578
18|White Rural districts|2.363|254|50|22|16|7 Il|349 Il|35|38|83|148|153
|Colored.|17.898|2,437|567|282|225|162 Il|3,673|543|372|444|482|516
||1.047|125|27|7|5|8|172|15|34|41|59|57
19|Montana White Colored.|4,882|723|98|60|34|43|958|131|102|113|114|161
20|White Cities|311|82|13|14|7|5 Il|121 Il|15|8|15|10|12
|Colored.|1.383 Il|193|28|18|11|8|258 Il|25|25 I|36|48|53
21|Rural districts White|43|7|2||||9|1||1|4|1
|Colored.|2,999|530|70|42|23|35 Il|700|106|77|77|66|108
||268|75|11|14|7|5|112|14|8|14|6|11
22|Nebraska White Colored|11.702|1.833|239|132|111|91|2,406|318|233|279|346|337
23|Cities White|315|55|9|2|3|2 Il|71|7|5|17|12|21
|Colored|3.617|501|50|43|36|39 Il|669 Il|107|73|85|145|129
24|Rural districts White|198 II|27|4|1|1|1 Il|34 Il|5|8|9|8|21
|Colored..|8,085|1,832|189|89|76|52 Il|1,787|211|160|194|201|208
|White|117|28|5|1|2|1 II|87|2|2|8|4|
25|New Hampshire Colored|6.094|877|93|57|38|39|1,104|93|71|104|129|128
26|Cities White Colored|8|1||||II|1|||1||
|White|2,644 Il|497|56|29|23|25 II|630|57|33|55|64|60
27|Rural districts Colored.|4|1|||||1|||||
||3,450 Il|380|37|28|15|14 II|474|86|38|49|65|68
|White|4|||||||||1||
28|New Jersey Colored White|35,593|5,345|976|484|388|286|7,479|1,005|573|777|871|1,153
29|Cities Colored|2.335 Il|455|95|34|16|11 Il|611|47|41|84|123|134
30|Rural districts White|22,966|8,785|712|372|276|210 Il|5,355 Il|732|397|490|569|798
|Colored.|1.584|335|68|28|13|8 ll|452|35|27|49|78|96
||12,627|1,560|264|112|112|76 Il|2,124|273|176|287|302|355
31|New York White Colored|751|120|27|6|3|3|159|12|14|35|45|38
32|Cities White Colored|126,419|17,342|3,090|1,573|1,172|966|24,143|2,990|2,012|2,469|3,510|3,983
|White|3,975|751|143|60|80|15 Il|999|61|61|113|254|308
33|Rural districts [Colored|94,266|13,994|2,609|1,340|983|825 Il|19,751|2,484|1,616|1,922|2,732|3,194
||3,515|691|129|56|27|15|918|54|54|106|231|274
34|North Carolina White|32,153|3,348|481|233|189|141|4,392|506|396|547|778|789
|Colored|460|60|14|4|3||81|7|7|7|23|34
35|Cities White Colored|18,100|4,062|1,007|363|219|144|5,795|383|279|413|618|605
36|White Rural districts|11,354|2,571|551|176|119|74|3,491|290|289|542|794|610
|Colored|2,862|497|131|43|28|21|720|63|52|80|189|130
||2.298|430|90|81|14|11|576|46|65|108|212|169
37|Ohio White|15.238|3,565|876|320|191|123|5,075|320|227|333|479|475
|Colored|9,056|2,141|461|145|105|63|2,915 II|244|224|434|582|441
38|Cities. White Colored|63,386|9,168|1,461|823|609|500|12,561|1,677|972|1,371|1,761|1,933
39|Rural districts White|3,718|546|118|59|29|21|773|55|83|141|268|275
|Colored|34,342|5,231|811|459|391|318|7,210|1,035|526|729|1,093|1,240
|White|2,799|416|95|48|21|16|596|43|64|113|193|234
40|Oregon Colored|29,044|3,937|650|364|218|182|5,351 Il|642|446|642|668|693
41|White Cities|919|130|23|11|8|5|177|12|19|28|75|41
|Colored White|8,076|761|102|65|48|45|1,021|217|157|194|240|276
42|Rural districts Colored|228 Il|27|4|2|3|2|38 Il|5|5|8|13|11
||3,647 Il|303|43|23|17|20 II|406 Il|93|83|70|92|136
||129 I|11|1||1|1|14|3|3|4|5|5
||4,429 Il|458|59|42|31|25 Il|615 Il|124|74|124|148|140
||99 Il|16|3|2|2|1|24|2|2|4|8|6

||||||WHITE.||||||||
||||||Native.||||||||
||||||One foreign|parent born,|Parentage nnimon||||||not
REGISTRATION AREA.|All deaths.|||||the|other-||||Nativ|Negro.|Japa- nese.|Other col-
||Total.|Total.|Both parents|Both parents foreign|||One parent||Foreign born.|ity un- known|||ored.
||||nauve.|born.|Native:|Un- known.|un- known, the other native.|BOWN parents un- known.|||||
||||||||||||||
REGISTRATION CITIES-Continued|152|152|91|49|15|11|2|8|6|60|1|||
VERMONT.|390|389 II|314 Il|180|56|44|1|18|15 I|65|10|||1
Barre||||||||||||||
Burlington|202 I|201 Il|158 II|106|26|14|2|3|7|41|2|1||
Rutland||||||||||||||
VIRGINIA.|254|167|162|115|2|I|1|28|15|4|1|87||
Alexandria|144|98|92|78|1|3||5|5|6||46||
Charlottesville|325 Il|215 Il|212 II|165|2|1|1|19|24|3||110||
Danville|441 Il|281 Il|271|205|9|10||21|26|9|1|160||
Lynchburg||||||||||||||
Newport News|400|140 Il|117 II|95|7|6|2|2|5|21|2|260||
Norfollo|1,565|757 Il|669 II|546|84|29||5|55|79|9|806||2
Petersburg|576|244|232|185|8|8|2|13|16|10|2|332||
Portsmouth Richmond|728|291|272|224|9|3||23|13|17|2|436|1|
Roanoke|2,567|1,491 Il|1,360|1,047|66|59 1|5|75|108|104|27|1,076||
Staunton|707|537 Il|516|402|13|9|1|48|43|18|3|170||
|251|216|208|154|3|6||9|36|6|2|35||
WASHINGTON.||||||||||||||
Aberdeen Bellingham|143|142|88|44|10.|16|2|8|8|53|1|1||
Everett|266 Il|264 Il|193 Il|100|30|20|2|17|24|65|6|||2
Hoquiam|255|II 250|il 166 II|82|24|27|.3|13|17|78|6|4||1
Seattle|75|73 II|51 Il|30|7|11||1|2|21|1||1|1
Spokane|2,839|lb 2.648|Il 1,766 Il|912|347|215|35|94|163|810|67|48|116|32
Tacoma Vancouver|1,315|1,297|955|562|175|96|10|52|60|317|25|12|2|4
Walla Walla|1,051|1,020 Il|689 Il|355|140|67|16|45|66|301|30|19|11|1
Yakima|143|II 141 Il|110 Il|72|14|5||7|12|30|1||1|I
|250|247 Il|204 Il|118|24|14|5|10|33|41|2|||8
WEST VIRGINIA.|302|284|Il 233|130|27|34|3|13|26|45|6|9|4|5
Wheeling||||||||||||||
WISCONSIN.|869|826|656|873|144|52|11|34|42|161|9|43||
Appleton||||||||||||||
Ashland||||||||||||||
Beloit|262|262|171|90|54|16||1|10|90|1|||
Eau Claire|197|Il 195 Il|98 Il|40|37|10|2|4|5|95|2|||2
Fond du Lac|204|190 Il|155 Il|82|39|17||8|9|35||14||
Green Bay|222|II 200 II|104 II|01 I|RT|on I|,|el|10|105||||
Janesville|||-|""" -"|VA|-|-|-|-|-|.|||
Kenosha|306|II 305|Il 211|l' 105|71|17|7|4|7|91|3|1||
La Crosse|531|527|364|139|95|51|15|40|24|153|10|1||8
Madison|197|197|Il 160 I|90|37|16|4|5|8|37||||
Manitowoc|323|Il 322|Il 209|II 71|99|23|1|6|9|110|3|1||
Marinette Milwaukee|524|524|346|Il 151|118|84|7|14|22|172|6|||
Oshkosh|426|421|301|123|112|29|6|18|13|117|3|5||
Racine|226|Il 226|Il 149|If 70|62|14|2||1|71|6|||
Sheboygan|155|Il 155|II 80|I 84|22|17|1|2|4.|71|4|||
Stevens Point|4,587|Il 4,554|II 2,846|Il 1,011|1,274|360|34|59|108|1,678|30|29||4
||""""||""""|||||||,|,||
Superior Waukesha|445|445|275|126|87|32|5|6|19|167|3|||
Wausau|589|Il 587|385|Il 171|155|49||1|9|199|3|2||
West Allis|344|Il 344|Il 196|Il 81|88|17|1|2|7|146|2|||
|139|Il 139|88|50|13|10|2|3|10|51||||
No|446|441|244|99|80|46|1|3|15|181|16|2||3
|140|Il 140|Il 101|Il 50|I 32|11|2|2|4|38|1|||
|264|Il 264|1l 162|Il 84|I 41|17||6|14|102||||
|127|Il 127|I 86|II 33|I 34|11|3|2|3|41||||
||Il|II|Ij||||||||||

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years.|8 years.|4 years.|Under 5 years.|9 years.|10 to 14 years.|15 to 19 years.|20 24 years.|25 to 29 years.
1|REGISTRATION STATES-Continued Pennsylvania White|104,347|19,173|3,189|1,539|1,171|933|20,005|2,878|1,809|2,187|2,855|8,216
|Colored.|5.572|960|229|60|34|43|1.326 II|117|117|208|397|402
2|Cities White|54,708|9,214|1,614|797|609|472|12,706|1,493|947|1,128|1,613|1.887
|Colored.|4,310|745|166|47|25|31|1.014 Il|93|93|157|298|316
3|Rural districts White Colored|49,639|9.959|1.575|742|562|461 II|13,299 il|1.385|862|1.059|1.242|1.329
||1.262|215|63|13|9|12|312|24|24|51|99|86
4|Rhode Island White|7,547|1.290|207|82|87|39|1.705|168|95|133|176|211
|Colored White|209|54|10|1||1|66 II|3|2|10|13|13
5|Cities Colored.|6,290|1,120|170|74|77|36 Il|1.477 II|145|76|101|143 I|173
|White|179|48|8|1||]|58 'I|2|1|5|11|13
6|Rural districts Colored.|1,257|170|37 I|8|10|3 Il|228 il|23|19|32|33 I|38
||30 Il|6|2|||11|8 'I|1|1|5|2|la
7|South Carolina White Colored|8,206|1.747|436|168|83|82|2.516 Il|201|136|240|311|274
8|White|12,171|3.104|567|217|129|108|4.125 !]|321|292|553|838|693
|Cities Colored.|1,732|281|71|28|16|12 I|408 Il|30|25|55|74|84
9|Rural districts White|2.163|413|70|44|9|14 II|550 Il|38|40|87|180|172
|Colored.|6,474|1.466|365|140|67|70 Il|2.108 li|171|111|185|237|190
||10.008|2.691|497|173|120|94|3.575 Il|283|252|466|658|521
10|Tennessee White Colored|18.032|2.995|771|334|193|171|4.464|495|322|574|743|646
11|Cities White|7,187|929|196|78|60|42|1.305 Il|161|169|423|560|477
|Colored.|4.439 Il|616|160|65|36|35 Il|912 Il|112|63|140|214|182
12|Rural districts White|3,143 Il|401|80|21|19|15|536 Il|56|54|146|251|242
|Colored..|13,593|2.379|611|269|157|136|3.552|383|259|434|529|464
|White|4,044|528|116|57|41|27 Il|769 Il|105|115|277|309|235
13|Utah Colored White|4,636|1.025|209|79|55|51|1.419|146|125|139|146|162
14|Cities Colored|147|37|8|2|2|4 II|53 Il|4|1|5|5|4
|White|2,010|325|71|24|15|19 Il|454 Il|63|53|49|71|74
15|Rural districts Colored|57|10||1|||11 Il|1||2 I|2|3
||2,626|700|138 I|55|40|32 It|965 Il|83|72|90|75|88
16|White Vermont|90 II|27|8|1|2|4 II|42 Il|3|1|3 I|3|1
|Colored White|4,992|616|77|31|26|28|778|82|54|73|103|100
17|Cities Colored|7|II 1||||Il|1|||||
18|White Rural districts|742|Il 125|11|5|6|5 II|152|21|5|12|12|20
|Colored|2|||||Il||||||
|White|4,250 II|491|66|26|20|23 II|626 II|61|49|61|91|80 I
19|Virginia Colored|5 Il|1||||Il|1|||||
20|Cities White Colored|17,225|3.306|667|320|215|157|4,665|389|308|397|572|468
21|Rural districts White|11.309 Il|2,217|417|165|92|84|2.975 Il|222|237|557|686|618
|Colored|4.437 Il|707|122|61|45|29|964 II|80|69|100|153|145
|White|3.521 Il|672|143|47|21|18|901 Il|50|68|165|235|239
22|Washington Colored|12,788|2,599|545|259|170|128|3.701 Il|309|239|297|419|323
|White|7.788|1.545|274|118|71|66 Il|2.074 Il|172|169|392|451|379
23|Cities Colored|12,653|1.395|190|124|97|84|1.890|351|296|308|445|488
24|Rural districts White Colored|601|117|29|15|7|3|II 171 II|20|10|41|34|24
||6,361|692|79|52|38|42|Il 903 Il|168|128|117|210|223
|White|278|54|18|4|1|3|Il 80|7|2|13|15|12
25|Wisconsin Colored|6,292|Il 703|111|72|59|I 42|Il 987 Il|183|168|186|235|265
26.|White Cities|323|63|11|11|6||91 Il|13|17|28|19|12
|Colored White|27,302|4,395|527|323|236|197|5,678|711|474|630|778|835
27|Rural districts Colored.|250|II 53|10|6|4||73|7|18|6|9|13
||10.687|1.853|240|148|113|I 91|2.445 Il|308|180|243|340|359
|REGISTRATION CITIES.|67|Il 16|3|1|1||Il 21 I|2|2||1|3
||16,615|2,542|287|175|I 123|106|3,233 Il|403|294|387|438|476
|ALABAMA. 1|183|37|7|5|3||II 52|II 5|16|6|8|10
|White||||||||||||
28|Birmingham Colored||||||||||||
29|Mobile White Colored|1,286|204|55|18|18|8|298|35|36|43|65|56
30|White|1.439|230|44|15|8|6|II 303|Il 25|25|75|133|118
|Montgomery [Colored|555|Il 61|16|12|7|5|101|Il 6|5|12|26|27
||.I 481|Il 78|13|4||1|96|Il 7|6|20|36|45
|CALIFORNIA.|".| 278"|II 25|3|2|2||Il 32|Il 9|8|4|15|12
31|Alameda|436|Il 42|13|8|3|1|II 67|Il 9|7|26|32|37
32|Bakersfield||||||||||||
33|Berkeley||||||||||||
34|Eureka|290|26|5|4|1|1|37|6|8|3|8|8
35|Fresno|. 379|Il 59|14|5|5|3|86|Il 10|7|10|15|16
||.I 564|Il 40|5|2|3|I 1|Il 51|Il 14|7|13|12|11
36|Glendale||||||||||||
87|Beach|J 204|II 20|4|2|3||Il 29|Il 4|2|6|4|6
|Long (White|638|II 123|18|16|17|3|II 177|II 19|9|10|22|28
38|Los Angeles. Colored|331|14|2|1||2|19|3|5|4|6|21
|White|854|Il 58|10|3|4|1|76|il 16|8|11|17|16
39|Oakland Colored.|7.995|Il 763|142|56|52|49|II 1,062|11 147|101|178|270|296
40|Pasadena|533|Il 96|13|11|7||127|7|7|15|30|32
41|Pomona|2,235|199|47|14|14|16|290|68|24|27|50|57
42|Richmond|121|Il 19||1|1|8|II 24|3|1|2|6|5
43|Riverside.|692|Il 28|9|3|4|3|Il 47|Il 9|10|6|15|17
44|Sacramento.|228|23|3||3|1|30|7|3|10|1|7
45 46|San Bernardino* San Diego|142|21|3|1|3|1|29|5|9|2|6|3
||".| 337"|Il 29|9|5|4|3|II 50|Il 8|6|17|11|15
|1 Nonregisti|1,083|123|21|11|7|6|1l 168|Il 25|7|18|26|41
||378|49|20|2|5|3|Il 79|Il 7|5|12|15|16
||1,379|II 106|I 12|I 8|71|1|II 134|II 13|41|34|35|41

||||||DEATHS|AT AGE|OF-|||||||Deaths at un-|
30to34 years.|35 to 39 years.|40 044 years.|45 to 49 years.|50 54 years.|55 to 59 years.|60 64 years.|65 69 years.|70 74 years.|75 79 years.|80 to 84 years.|85 to 89 years.|90 to 94 years.|95 99 years.|100 years and over.|known age.|
3,331|3,968|4,054|4,698|5,469|5,901|7.078|7,401|7.771|7.124|5.043|2.563|820|139|27|10|1
328|427|398|393|331|285|241|178|164|100|86|41|17|6|10|If|
1.980|2.360|2.396|2.772|3.362|3,472|3.940|3,859|3.821|3.219|2.249|1.085|342|58|17|2|2
274|332|337|307|279|210|191|128|112|65|58|27|9|2|8|K|
1,351|1,608|1,658|1,926|2,107|2.429|3.138|3,542|3.950|3,905|2.794|1.478|478|81|10|8|3
54|95|61|86|52|75|50|50|52|35|28|14|8|4|2||
215|261|281|362|444|466|627|573|624|553|381|190|59|12|3|8|4
7|13|6|13|16|3|8|8|10|11|5||1|||If|
178|215|248|310|384|406|530|478|511|430|283|141|44|8|3|67|5
4|13|6|11|12|3|8|7|9|10|5||1||||K
37|46|33|52|60|60|97|95|113|123|98|49|15|4||2|6
3|||2|4|||1|1|1||1|||||
248|268|278|322|326|322|521|596|637|461|299|162|53|17|4|14|7
533|627|571|610|517|370|422|382|444|296|248|131|90|34|54|20 R|
78|71|71|89|95|86|110|137|118|98|58|34|9|2||l>|8
154|162|153|164|123|96|63|59|49|31|23|6|6|3|3|1|K
170|197|207|238|231|236|411|459|519|363|241|128|44|15|4|14 1)|a
379|465|418|446|394|274|359|323|395|265|225|125|84|31|51|19 P|
659|719|652|729|793|776|1.023|1.275|1.377|1.275|856|478|108|28|9|31|
418|497|413|421|481|349|342|298|274|200|175|98|44|23|34|25|R
195|224|224|254|236|230|297|312|309|242|190|79|20|3|||Bh
209|278|233|240|251|168|153|104|78|65|45|14|9|2|8|1|
404|495|428|475|557|546|726|963|1.068|1.033|666|399|88|25|9|30|I'm
209|219|180|181|230|181|189|194|196|135|130|84|35|21|26|24|
151|194|150|175|188|228|235|275|258|276|218|102|42|7|||
||||6|6||||4|||||||
84|99|77|102|107|122|118|136|122|126|95|40|17||||the
|||||2|||||||||||
67|95|73||81|106|117|139|136|150|123|62|25|6|||the
|||||||||4||||||2|
106|135|152|177|243|257|354|430|559|568|421|282|87|15|6|10|
|||||||||2|||||||
17|36|38|40|46|40|49|51|67|52|45|30|5|2||1|Ban
||||||||||||||||IJ
||||||||||||||||
89|99|114|137|197|217|305|379|492|516|376|252|82|13|5|9|Pho
|||||||||2|||||||
||||||||||||||||
497|550|535|615|694|769|1.158|1.273|1.411|1.275|936|480|164|48|4|17|1310
533|583|541|617|683|533|627|476|455|344|265|163|70|46|50|28|U
167|178|185|196|259|268|355|361|314|291|216|95|30|9|1|1|lon
212|222|261|270|277|177|178|98|71|45|23|10|7|6|1|5|
330|372|350|419|435|501|803|912|1.097|984|720|385|134|39|3|16|Bon
321|361|280|347|406|356|449|378|384|299|242|153|63|40|49|23|
489|558|587|610|753|862|1.064|1.054|1.031|852|556|320|92|26|3|23|line
28|33|33||33|27|22|28|20|17|9|2|2|5|4|2|
255|290|331|349|404|501|579|554|502|400|237|161|35|12||2|Boo
17|20|20||22|15|17|11|8|5||||1|||
234|268|256|261|349|361|485|500|529|452|319|159|57|14|3|21|Ba
11|13|13|16|11|12||17|12|12|8|2|I|4|4|2|If
840|893|876|1.034|1.165|1.541|1.963|2.060|2.139|2.258|1.679|1.140|473|96|19|20|lon
12||11|15||11|12|14|8|9|5||3|2|2||
365|405|417|460|520|702|799|784|768|710|457|295|105|17|a|5|llon
||||||||||||||||
475|488|459|574|645|839|1.164|1.276|1.371|1.548|1.222|845|368|79|16|15|now
||||||a|14|||||||2||1(4)
||||||||||||||||
5R|70|77|69|75|78|88|70|74|58|29||||||
||105||101|54|19|29|26|15|13|||2|||
|||||33|45|40||28|26|10|5||||
|||||28|14|ii|16||||||||
10|||||13|28|22|18|27|||||||
37|||||16|20|10||10||6|||||
10||15|10|20|16|17|20|31|22|28|14|6||||31
16|23|20||24||24|26|25|a|9||2||||32
to|30|24|27|||50|61|59|60|42|28|.5||||33
||||||||||||||||
it|||11||13|24|16|18|15|11|6|2||||34
28||35|24|37|28|38|37|38|25|19|14|3||||35
- 13|13|11|15|16|16|38|26|40|37|26|15|5|2|||36
22|42|30|35|50|45|66|78|111|110|79|31|7|4|||37
222|425|416|465|524|572|640|653|640|554|409|236|67|14|3||
20||41|39|31|37|30|24|13|11|||2|1|2||par
NO 65|82|88|125|152|176|191|191|225|164|150|68|36|5|1||
6|||||12|18|6||||2||1|||159
25|30|28|23|49|33|57|61|89|77|61|40|12|2||1|40
0|||11|4|16|22|16|29|20|16|12|3||||41
4|8|12|4|9|5|11|9|10|9||5|2||||42
12|22|20|5|16|11|26|23|31|30|22|7|5||||43
46|||73|72|96|91|87|86|56|33|22|13|2|1||44
21||16|21|25|17|26|24|26|19|10|9|4|1|||45
50||67|70|87|106|124|134|149|132|80|52|10|6|||46

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years.|8 years.|4 years.|Under 5 years.|5 to 9 years.|10 14 years.|15 19 years.|20 24 years.|25 to 29 years.
1|REGISTRATION CITIES-Continued. CALIFORNIA-continued. White San Francisco|6,578|428|76|52|35|39|630|176|85|100|209|229
|Colored.|453|40|12|11|8|5|76 Il|7|7 I.|12|33|32
2|San Jose.||||||||||||
3|Santa Ana|478 Il|39|6|5|3|1|54 Il|13|9|9|13|15
4|Santa Barbara|201|23|6|2|1|1|33 Il|4|2|1|5|8
||260 Il|33|4|3|2|4|46 I|6|2|10|6|8
5|Santa Cruz||||||||||||
6|Santa Monica|208|7|||1||8||6|5|3|1
7|Stockton*|279|27|3|2||1 Il|33 Il|5|2|4|7|7
8|Vallejo|617|80|16|12|6|4 Il|118 il|19|10|10|20|23
9|Venice|238 Il|21|2||2|2 Il|27 II|4|2|29|22|9
|COLORADO.|86 Il|7|3|||4 I|14 il||1||1|4
10|Boulder||||||||||||
11|Colorado Springs*|195|22|1|2|2||27|4|4|10|15|18
12|Denver|608 Il|43|8|9|1|4 Il|65|14|6|20|34|56
13|Greeley|3,715 Il|390|65|37|28|17 II|537 Il|76|60|75|149|203
14|Pueblo||||||||||||
15|Trinidad|159 II|21|5|3|||29 I|5|5|10|4|6
||614 Il|88|21|3|9|7 Il|128 Il|29|16|13|28|39
|CONNECTICUT.|214 Il|49|8|2|2|1 Il|62|9|5|9|8|13
16|Ansonia||||||||||||
17|Bridgeport||||||||||||
18|Bristol|144|41|8|2|2|2|55|4||8|2|3
19|Danbury town|1,503 Il|270|53|28|29|21 Il|401 Il|49|23 I|38|39|58
20|Derby|170|50|5|4|2||61 Il|6|2|4|1|4
||340 Il|42|4|3|1|2 Il|52 Il|8|4|11|8|11
