|||||||DEATHS|OCCURRING|IN-||||
|White|1,383|193|28|18|11|8|258|25|25|36|48|53
20|Cities Colored|43|7|2||||9|1||1|4|1
21|Rural districts White|2,999|530|70|42|23|35|700|106|77|77|66|108
|Colored|268|75|11|14|7|5|112|14|8|14|6|11
22|Nebraska White|11,702|1,833|239|132|111|91|2,406|318|233|279|346|337
|Colored|315|55|9|2|3|2|71|7|5|17|12|21
23|Cities White|3,617|501|50|43|36|39|669|107|73|85|145|129
|Colored|198|27|4|1|1|1|34|5|3|9|8|21
24|Rural districts White|8,085|1,332|189|89|75|52|1,737|211|160|194|201|208
|Colored|117|28|5|1|2|1|37|2|2|8|4|
25|White New Hampshire Colored|6,094 8|877 1|93|57|38|39|1,104 1|93|71|104 1|129|128
|White|2,644|497|56|29|23|25|630|57|33|55|64|60
26|Cities Colored|4|1|||||1|||||
27|White Rural districts|3,450|380|37|28|15|14|474|36|38|49|65|68
|Colored|4|||||||||1||
28|White New|35,593|5,345|976|484|388|286|7,479|1,005|573|777|871|1,153
|Jersey Colored|2,335|455|95|34|16|11|611|47|41|84|123|134
29|White Cities|22,966|3,785|712|372|276|210|5,355|732|397|490|569|798
|Colored|1,584|335|68|28|13|8|452|35|27|49|78|96
30|White Rural districts|12,627|1,560|264|112|112|76|2,124|273|176|287|302|355
|Colored|751|120|27|6|3|3|159|12|14|35|45|38
31|New York White|126,419|17,342|3,090|1,573|1,172|966|24,143|2,990|2,012|2,469|3,510|3,983
|Colored|3,975|751|143|60|30|15|999|61|61|113|254|308
|White Cities|94,266|13,994|2,609|1,340|983|825|19,751|2,484|1,616|1,922|2,732|3,194
32|Colored|3,515|691|129|56|27|15|918|54|54|106|231|274
33|Rural districts White|32,153|3,348|481|233|189|141|4,392|506|396|547|778|789
|Colored|460|60|14|4|3||81|7|7|7|23|34
|White North Carolina|18,100|4,062|1,007|363|219|144|5,795|383|279|413|618|605
34|Colored|11,354|2,571|551|176|119|74|3,491|290|289|542|794|610
35|Cities White|2,862|497|131|43|28|21|720|63|52|80|139|130
|Colored|2,298|430|90|31|14|11|576|46|65|108|212|169
36|Rural districts White|15,238|3,565|876|320|191|123|5,075|320|227|333|479|475
|Colored|9,056|2,141|461|145|105|63|2,915|244|224|434|582|441
37|Ohio White|63,386|9,168|1,461|823|609|500|12,561|1,677|972|1,371|1,761|1,933
|Colored|3,718|546|118|59|29|21|773|55|83|141|268|275
|White|34,342|5,231|811|459|391|318|7,210|1,035|526|729|1,093|1,240
38|Cities Colored|2,799|416|95|48|21|16|596|43|64|113|193|234
39|Rural districts White|29,044|3,937|650|364|218|182|5,351|642|446|642|668|693
|Colored|919|130|23|11|8|5|177|12|19|28|75|41
|White|8,076|761|102|65|48|45|1,021|217|157|194|240|276
40|Oregon Colored|228|27|4|2|3|2|38|5|5|8|13|11
|White Cities|3,647|303|43|23|17|20|406|93|83|70|92|136
41|Colored|129|11|1||1|1|14|3|3|4|5|5
42|Rural districts White|4,429|458|59|42|31|25|615|124|74|124|148|140
|Colored|99|16|3|2|2|1|24|2|2|4|8|6

||||||DEATHS|AT AGE|OF-||||||||
30 to 34 years.|35 to 39 years.|40 to 44 years.|45 to 49 years.|50 to 54 years.|55 to 59 years.|60 to 64 years.|65 to 69 years.|70 to 74 years.|75 to 79 years.|80 to 84 years.|85 to 89 years.|90 to 94 years.|95 to 99 years.|100 years and over.|Deaths atun- known age.|
469 210|479 273|571 288|664|803|878|1,168||||||||||
298 140|321|362|289 468|300|237|252|1,299 186|1,311|1,194|812|438|124||||
|197|194|204|558|566|745|804|183|138|103|54||26|5|25|
171|158|209||180|133|137||758|646|372||23|6|9|20|1
70|76|94|196|245|312|423|74|70|43|35|224|57|13|3||
|||85|120|104||495|553|548||15|4|1||2|2
1,412|1,613|||||115|112|113||440|214|67|13|2|1|
36|62|1,858|2,219|2,725|||||95|68|39|19||2|23|3
1,162|1,338|70|50|51|3,058 46|3,688|3,911|4,006|||||5|7|19|
30||1,572|1,881|||40|54||3,448|2,576|1,542|||||
250|53|57|44|2,257|2,508|2,984|3,033|42|26|17|6|535|116|18|5|
|275|286||40|40|||3,080|2,556|||4|4|||4
6|9||338|468|550|38|50|36|24|1,858|1,046|362|86|2||
||13|6|11|6|704|878|926|892|13|3|3|2|13|3|5
1,352|1,484|||||2|4|6||718|496|173||2||
96|124|1,470|1,674|1,952|||||2|4|3|1|30|5|2|6
||86|70||2,248|2,783|||||||2|||
829|893|||48|||3,252|3,347||||||||
81||863|948||39|41|47||3,384|2,541|1,340|||||
|102|69||1,022|1,141|1,294||38|24|16||419|100|21||
523|591|607|53|36|25|26|1,382|1,297|1,163||11|6|3||59|
15|22|17|726|930|1,107||28|22|7|875|437|145|38|5|3|7
|||17|12|14|1,489|1,870|2,050|2,221|8|1|3|1|6|8|
808|906|||||15|19|16|17|1,666|903|274|62|2||8
12|17|880 16|923|1,213|1,254|||||8|10|3||15|51|
401|467||24|18|15|1,699|1,562|1,589|1,673||||2|3|3|9
10||436|473|615||8|14|||1,236|851|290||||
|12|12|||646|814||8|6|7|||74|8||
407|439|444|16 450|14|9|4|720|654|601|378|2 260|2|1|2|9|10
2|5|4|8|598|608|885|7|3|2|2||78|21|1||
||||4|6||842|935|1,072||1||1||4|
245|295|268||||4|7|5|4|858|591|212||1||11
585|687|570|306|279|293|||||5|1|2|53|7|5|
53|||637|||437|510|||||||1||12
|66|59|74|612|455|529||544|488|332||||||
113|131|||65|||513|545|||177|56||||
192|229|131|132|124|72|89|81||478|411|232||19|3|44|
||209|232||78|76|74|68|71|42||153|54|116||13
472|556|||214|221|||70|62||16|5|||87|
||439|505|488|377|348|429|476|417|41|17|10|2||2|
1,122|1,202|1,281||||453|439|475|416|290|161|51|5 17|13|21|14
231|251|250|1,486|1,771|1,921|||||370|215|143||3|42|
645|699||259|245|187|2,465|2,610|2,788|||||49|103|66|15
180|186|767|.907|1,036||175|150|180|2,738|1,966|1,130|342||||
477||209|206||1,080|1,295|1,234||103|69|||66|11||
51|503|514|579|195|136|109||1,206|1,016|684|43|27|15|13|92|
|65|41|53|735|841|1,170|84|98|61|33|412|113|18||28|16
||||50|51|66|1,376|1,582|1,722||19|8|10|3|8|
204|230|202|||||66|82|42|1,282|718|229||7|16|17
14|7|6|226|269|278|||||36|24|19|48|8|84|
63|77|58|13|10|19|330|305|267|246||||5|6|12|18
5|1||92|111|118|12|9|6||131|75|26||||
141|153|3|2|1||107|95|81|10|4|4||8||6|
9||144|134|158|5|4|1||64|40||5|2|2||
|6|3|||160|223||1|1||23|5|2||7|19
|||11|9|14|8|210|186|182||2||||2|
354|-412|376|458||||8|5|9|91|52|21|6||1|20
13|32|22||503|595|||||4|2|5|||4|
144|170||18|20|30|779|922|1,013|||||2|2|6|21
9|28|175|187|203|216|7|6|10|1,031|755|426|121||||
210|242|15|14|14||266|260|260|4|8|6||26|5|7|
4||201|271|300|-18|3|4||232|166|98|5||1||22
|4|7|4|6|379|513|662|5 753|3|3|1|25|7|||
145|||||12|4|||799|589||||||
|169|158|||||2|5|1||328|96||1||23
|||240|274|363|433||||5|5|5|19|5|7|
70|92|74|1||||514|667|598|||||||24
|||121|131|169||3|1|1|447|289|109||||
75|77|||||183|202|216|||||22|4|33|
||84|119|143|||1||203|146||||||
|||1||194|250|312|1|1||85|37|8|||25
1,210|||||||2|451|395|301||||3|5|
119|1,365|1,496|1,835||||||||204|72|14|||26
820|173|174|170|2,063|2,333|2,743||||||||1|28|
|927|1,022|1,262|132|116|114|2,665|2,630|2,485|||||||27
86|122|125||1,382|1,598||113|54|60|1,703|864|273||||
390|438|474|119|95|77|1,757|1,618|1,484|1,338|34|21|7|58|8|4|
33|51||573|681||69|72|||875|393||4|4||
||49|51|37|735|986|1,047|24|28|11||122|22|3||28
4,292|||||39|45|41|1,146|1,147|828|9|3|3||2|
290|4,992|5,504|6,532|||||30|32||471|151|36|4||29
|331|322||7,777|8,587|||||23|12|4||5|2|
3,429|4,083|4,452|225|226|179|10,092 181|10,049|9,756|8,688||||1|||30
265|301|295|5,304|6,256|6,787||125|128|98|6,254|3,360|1,112||||
863|909||195|196|157|7,616|7,182|6,345||31|24||249|33||
25|30|1,052 27|1,228|1,521|1,800|163|92|97|5,218|3,446|1,751|15|1|2|35|31
|||30|30||2,476|2,867||67|23||557|120|16|1|
557|613||||22|18|33|3,411|3,470|2,808|13|12|1||5|
500|511|575|556|681||||31|31|8|1,609|555|129|1||
134|130|467|492|480|685|1,048|1,254||||11|3||17|30|
143|124|129|124|153|388|452|421|1,394|1,132|814||||1|1|33
423||135|139||145|201||491|342||414|165||||
|483|446||140|86|102|184|172|143|305|159|102|41|20|58|
357|387|332|432|528|540||66|79||96|49||53|74||34
|||353|340|302|847|1,070|1,222|36|21|17|12|3|1|101|
2,067|2,371|||||350|355||989|718||9|5||2|
233|290|2,350|2,704|3,019||||412|306|284|365|153|38|4|16|35
1,389|1,565|261|262|201|3,481|4,557|4,928||||142|93|48|19|56|
196||1,509|1,736||160|156||5,363|5,347|||||70|85|36
678|246|207|208|1,912|2,080|2,574|133|145|131|3,960|2,113|681||||
37|806|841|968|161|111|113|2,521|2,424|2,184|83|33|13|131|23|16|
|44|54||1,107|1,401||83|83||1,511|772||10|9||37
|||54|40|49|1,983|2,407|2,939|72|46|14|272|47|12|3|
280|345|358||||43|50|62|3,163|2,449|1,341|4|6|5|1|
10|15|12|424|459|534||||59|37|19|409|84|11|1|38
153|174||9|15||673|728|||||9|4||15|
6|9|184|218|261|16 269|14|22|726 11|627|434|254|||4|2|39
127|171|7|6|10||315|308||9|3||96|21|||
4|6|174|206|198|12|13|16|321|265|155|6|4||3|9|
||5|3|5|265|358|420|8|6|1|98|34||1|1|40
|||||4|||405|||||9|1||
|41260|24|18|||1|6|3|362|279|156|1|||2|41
|||||||||3|2|6|62|12|2||
||||||||||||3|||7|
||||||||||||||1|1|42

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years.|3 years.|4 years.|Under 5 years.|5 to 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.
|REGISTRATION STATES-Continued.||||||||||||
1|White|104,347|19,173|3,189|1,539|1,171|933|26,005|2,878|1,809|2,187|2, 855|3,216
|Pennsylvania Colored|5,572|960|229|60|34|43|1,326|117|117|208|397|402
2|White|54,708|9,214|1,614|797|609|472|12,706|1,493|947|1,128|1,613|1,887
|Cities Colored|4,310|745|166|47|25|31|1,014|93|93|157|298|316
3|Rural districts White|49,639|9,959|1,575|742|562|461|13,299|1,385|862|1,059|1,242|1,329
|Colored|1,262|215|63|13|9|12|312|24|24|51|99|86
|White|7,547|1,290|207|82|87|39|1,705|168|95|133|176|211
4|Rhode Island Colored|209|54|10|1||1|66|3|2|10|13|13
5|Cities White|6,290|1,120|170|74|77|36|1,477|145|76|101|143|173
|Colored|179|48|8|1||]|58|2|1|5|11|13
6|Rural districts White|1,257|170|37|8|10|3|228|23|19|32|33|38
|Colored|30|6|2||||8|1|1|5|2|
7|South Carolina White|8,206|1,747|436|168|83|82|2,516|201|136|240|311|274
|Colored|12,171|3,104|567|217|129|108|4,125|321|292|553|838|693
8|Cities White|1,732|281|71|28|16|12|408|30|25|55|74|84
|Colored|2,163|413|70|44|9|14|550|38|40|87|180|172
9|Rural districts White|6,474|1,466|365|140|67|70|2,108|171|111|185|237|190
|(Colored|10,008|2,691|497|173|120|94|3,575|283|252|466|658|521
10|White Tennessee|18,032|2,995|771|334|193|171|4,464|495|322|574|743|646
|Colored|7,187|929|196|78|60|42|1,305|161|169|423|560|477
11|Cities White|4,439|616|160|65|36|35|912|112|63|140|214|182
|Colored|3,143|401|80|21|19|15|536|56|54|146|251|242
12|Rural districts White|13,593|2,379|611|269|157|136|3,552|383|259|434|529|464
|Colored|4,044|528|116|57|41|27|769|105|115|277|309|235
|White|4,636|1,025|209|79|55|51|1,419|146|125|139|146|162
13|Utah Colored|147|37|8|2|2|4|53|4|1|5|5|4
14|Cities White|2,010|325|71|24|15|19|454|63|53|49|71|74
|Colored|57|10||1|||11|1||2|2|3
15|Rural districts White|2,626|700|138|55|40|32|965|83|72|90|75|88
|Colored|90|27|8|1|2|4|42|3|1|3|3|1
|White|4,992|616|77|31|26|28|778|82|54|73|103|100
16|Vermont Colored|7|1|||||1|||||
17|White Cities|742|125|11|5|6|5|152|21|5|12|12|20
|Colored|2|||||||||||
18|White Rural districts|4,250|491|66|26|20|23|626|61|49|61|91|80
|Colored|5|1|||||1|||||
19|White|17,225|3,306|667|320|215|157|4,665|389|308|397|572|468
|Virginia Colored|11,309|2,217|417|165|92|84|2,975|222|237|557|686|618
20|Cities White|4,437|707|122|61|45|29|964|80|69|100|153|145
|Colored|3,521|672|143|47|21|18|901|50|68|165|235|239
21|Rural districts White|12,788|2,599|545|259|170|128|3,701|309|239|297|419|323
|Colored|7,788|1,545|274|118|71|66|2,074|172|169|392|451|379
22|White Washington|12,653|1,395|190|124|97|81|1,890|351|296|303|445|488
|Colored|601|117|29|15|7|3|171|20|19|41|34|24
23|Cities White|6,361|692|79|52|38|42|903|168|128|117|210|223
|Colored|278|54|18|4|1|3|80|7|2|13|15|12
24|Rural districts White|6,292|703|111|72|59|42|987|183|168|186|235|265
|Colored|323|63|11|11|6||91|13|17|28|19|12
25|Wisconsin White|27,302|4,395|527|323|236|197|5,678|711|474|630|778|835
|Colored|250|53|10|6|4||73|7|18|6|9|13
26|Cities White|10,687|1,853|240|148|113|91|2,445|308|180|243|340|359
|Colored|67|16|3|1|1||21|2|2||1|3
27|Rural districts White|16,615|2,542|287|175|123|106|3,233|403|294|387|438|476
|Colored|183|37|7|5|3||52|5|16|6|8|10
|REGISTRATION CITIES. ALABAMA.||||||||||||
28|Birmingham White|1,286|204|55|13|18|8|298|35|36|43|65|56
|Colored|1,439|230|44|15|8|6|303|25|25|75|133|118
29|Mobile White|555|61|16|12|7|5|101|6|5|12|26|27
|Colored|481|78|13|4||1|96|7|6|20|36|45
30|White|278|25|3|2|2||32|9|8|4|15|12
|Montgomery [Colored|436|42|13|8|3|1|67|9|7|26|32|37
|CALIFORNIA.||||||||||||
31|Alameda|290|26|5|4|1|1|37|6|3|3|8|8
32|Bakersfield|379|59|14|5|5|3|86|10|7|10|15|16
33|Berkeley|564|40|5|2|3|1|51|14|7|13|12|11
34|Eureka|204|20|4|2|3||29|4|2|6|4|6
35|Fresno|638|123|18|16|17|3|177|19|9|10|22|28
36|Glendale*|331|14|2|1||2|19|3|5|4|6|21
37|Long Beach|854|58|10|3|4|1|76|16|8|11|17|16
38|White Los Angeles|7,995|763|142|56|52|49|1,062|147|101|178|270|296
|Colored|533|96|13|11|7||127|7|7|15|30|32
|White|2,235|199|47|14|14|16|290|68|24|27|50|57
39|Oakland (Colored|121|19||1|1|3|24|3|1|2|6|5
40|Pasadena|692|28|9|3|4|3|47|9|10|6|15|17
41|Pomona|228|23|3||3|1|30|7|3|10|1|7
42|Richmond|142|21|3|1|3|1|29|5|9|2|6|3
43|Riverside|337|29|9|5|4|3|50|8|6|17|11|15
44|Sacramento|1,083|123|21|11|7|6|168|25|7|18|26|41
45|San Bernardino*|378|49|20|2|5|3|79|7|5|12|15|16
46|San Diego|1,379|106|12|8|7|1|134|13|4|34|35|41

||||||DEATHS|AT AGE|OF-|||||||Deaths|
30 to 34 years.|35 to 39 years.|40 to 44 years.|45 to 49 years|50 to 54 years.|55 to 59 years.|60 to 64 years.|65 to 69 years.|70 to 74 years.|75 to 79 years.|80 to 84 years.|85 to 89 years.|90 to 94 years.|95 to 99 years.|100 years and over.|at un- known age.|
3, 331|3, 968|054|4,698|,469|5,901|7, 078|401|7,771|7,124|5,043|2,563|820|139|27|10|1
328|427|398|393|331|285|241|178|164|100|86|41|17|6|10||
1,980|2,360|2,396|2,772|3,362|3,472|3,940|3,859|3,821|3,219|2,249|1,085|342|58|17|2|2
274|332|337|307|279|210|191|128|112|65|58|27|9|2|8||
1,351|1,608|1,658|1,926|2,107|2,429|3,138|3,542|3,950|3,905|2,794|1,478|478|81|10|8|
54|95|61|86|52|75|50|50|52|35|28|14|8|4|2||
215|261|281|362|444|466|627|573|624|553|381|190|59|12|3|8|
7|13|6|13|16|3|8|8|10|11|5|1|1||||
178|215|248|310|384|406|530|478|511|430|283|141|44|8|3|6|
4|13|6|11|12|3|8|7|9|10|5||1||||
37|46|33|52|60|60|97|95|113|123|98|49|15|4||2|
3|||2|4|||1|1|1||1|||||
||||||||||||||||
248|268|278|322|326|322|521|596|637|461|299|162|53|17|4|14|
533|627|571|610|517|370|422|382|444|296|248|131|90|34|54|20|
78|71|71|89|95|86|110|137|118|98|58|34|9|2|||
154|162|153|164|1:23|96|63|59|49|31|23|6|6|3|3|1|
170|197|207|233|231|236|411|459|519|363|241|128|44|15|4|14|9
379|465|418|446|394|274|359|323|395|265|225|125|84|31|51|19|
||||||||||||||||
659|719|652|729|793|776|1,023|1,275|1,377|1,275|856|478|108|28|9|31|10
418|497|413|421|481|349|342|298|274|200|175|98|44|23|34|25|
195|224|224|254|236|230|297|312|309|242|190|79|20|3||1|11
209|278|233|240|251|168|153|104|78|65|45|14|9|2|8|1|
464|495|428|475|557|546|726|963|1,068|1,033|666|399|88|25|9|30|12
209|219|180|181|230|181|189|194|196|135|130|84|35|21|26|24|
151|194|150|175|188|228|235|275|258|276|218|102|42|7|||13
7|14|7|9|6|6|5|5|5|4|1|3|||1|2|
84|99|77|102|107|122|118|136|122|126|95|40|17|1|||14
5|9|4|2|5|2|4|3|4||||||||
67|95|73|73|81|106|117|139|136|150|123|62|25|6|||15
2|5|3|7|1|4|1|2|1|4|1|3|||1|2|
106|135 2|152 1|177|243|257|354|430|559 1|568 2|421|282|87|15|6|10|16
17|36 1|38|40|46|40|49|51|67 1|52|45|30|5|2|1|1|17
89|99|114|137|197|217|305|379|492|516|376|252|82|13|5|9|18
|1|1|||||||2|||||||
497|550|535|615|694|769|1,158|1,273|1,411|1,275|936|480|164|48|4|17|19
533|583|541|617|683|533|627|476|455|344|265|163|70|46|50|28|
167|178|185|196|259|268|355|361|314|291|216|95|30|9|1|1|20
212|222|261|270|277|177|178|98|71|45|23|10|7|6|1|5|
330|372|350|419|435|501|803|912|1,097|984|720|385|134|39|3|16|21
321|361|280|347|406|356|449|378|384|299|242|153|63|40|49|23|
439|558|587|610|753|862|1,064|1,054|1,031|852|556|320|92|26|3|23|22
28|33|33|27|33|27|22|28|20|17|9|2|2|5|4|2|
255|290|331|349|404|501|579|554|502|400|237|161|35|12||2|23
17|20|20|11|22|15|17|11|8|5|1||1|1|||
234|268|256|261|349|361|485|500|529|452|319|159|57|14|3|21|24
11|13|13|16|11|12|5|17|12|12|8|2|1|4|4|2|
840|893|876|1,034|1,165|1,541|1,963|2,060|2,139|2,258|1,679|1,140|473|96|19|20|25
12|8|11|15|8|11|12|14|8|9|5|4|3|2|2||
365 6|405 4|417 6|460 6|520 6|702 4|799 3|784|768 1|710 2|457|295|105|17|3|5|26
475|488|459|574|645|839|1,164|1,276|1,371|1,548|1,222|845|368|79|16|15|27
6|4|5|9|2|7|9|14|7|7|5|4|3|2|2||
56|70|77|69|75|73|88|70|74|58|29|8|5|1|||28
115|124|105|110|101|54|49|29|26|15|13|11|4|2|2||
18|26|21|31|39|33|45|40|43|38|26|10|5|2|1||29
31|38|37|44|35|26|14|11|16|9|7||2|1|||
12|17|16|13|15|13|28|22|18|27|7|8||1||1|30
37|45|25|37|35|16|20|10|8|10|4|6|3|1|1||
10|7|15|10|20|16|17|29|31|22|28|14|6||||31
16|23|20|18|24|33|24|26|25|9|9|4|2|1|1||32
10|23|24|27|32|34|50|61|59|60|42|28|5|1|||33
10|6|5|11|16|13|24|16|18|15|11|6|2||||34
28|36|35|34|37|28|38|37|38|25|19|14|3|1|||35
13|13|11|15|16|16|38|26|40|37|26|15|5|2|||36
22|42|30|35|50|45|66|78|111|110|79|31||4|||37
322|425|416|465|524|572|640|653|640|554|409|236|67|14|3|1|38
29|47|41|39|31|37|30|24|13|11|3|5|2|1|2||
65 6|82 9|88 6|125 11|152 4|176 12|191 13|191 6|225 8|164 1|150 1|68 2|36|5 1|1||39
25|30|28|23|49|33|57|61|89|77|61|40|12|2||1|40
9|5|7|11|4|16|22|16|29|20|16|12|3||||41
4|8|12|4|9|5|11|9|10|9||5|2||||42
12|22|20|5|16|11|26|23|31|30|22|7|5||||43
46|62|58|73|72|96|91|87|86|56|33|22|13|2|1||44
21|25|16|21|25|17|26|24|26|19|10|9|4|1|||45
50|51|67|70|87|106|124|134|149|132|80|52|10|6|||46

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years.|8 years.|4 years.|Under 5 years.|5 9 years.|10 to 14 years.|15 to 19 years.|20 to 24 years.|25 to 29 years.
|REGISTRATION CITIES-Continued. CALIFORNIA-continued.||||||||||||
|White|578|428|76|52|35|39|630|176|85|100|209|229
1|San Francisco Colored|453|40|12|11|8|5|76|7|7|12|33|32
2|San Jose|478|39|6|5|3|1|54|13|9|9|13|15
3|Santa Ana|201|23|6|2|1|1|33|4|2|1|5|8
4|Santa Barbara|260|33|4|3|2|4|46|6|2|10|6|8
5|Santa Cruz|208|7|||1||8||6|5|3|1
6|Santa Monica|279|27|3|2||1|33|5|2|4|7|7
7|Stockton*|617|80|16|12|6|4|118|19|10|10|20|23
8|Vallejo|238|21|2||2|2|27|4|2|29|22|9
9|Venice|86|7|3|||4|14||1||1|4
|COLORADO.||||||||||||
10|Boulder|195|22|1|2|2||27|4|4|10|15|18
11|Colorado Springs*|608|43|8|9|1|4|65|14|6|20|34|56
12|Denver|3, 715|390|65|37|28|17|537|76|60|75|149|203
13|Greeley|159|21|5|3|||29|5|5|10|4|6
14|Pueblo|614|88|21|3|9|7|128|29|16|13|28|39
15|Trinidad|214|49|8|2|2|1|62|9|5|9|8|13
|CONNECTICUT.||||||||||||
16|Ansonia|144|41|8|2|2|2|55|4||3|2|3
17|Bridgeport|1, 503|270|53|28|29|21|401|49|23|38|39|58
18|Bristol|170|50|5|4|2||61|6|2|4|1|4
19|Danbury town|340|42|4|3|1|2|52|8|4|11|8|11
20|Derby|153|32|4|3|1|3|43|3|5||3|9
21|East Hartford town|86|5|1||||6|1|1|3|1|2
22|Enfield town|112|34|4|2|5|1|46|2|2|1|2|
23|Fairfield town|84|11|4|1|3||19|5|2|2|1|2
24|Greenwich town|264|40|9|1||2|52|4|4|7|9|5
25|Hartford|,828|305|67|27|16|11|426|42|31|33|54|79
26|Manchester town|150|28|5||||33|4|2|3|5|2
27|Meriden town|410|50|6|2|2|2|62|15|13|4|7|6
28|Middletown town*|470|41|8|7|4|1|61|8|4|7|7|18
29|Milford town|127|13||2||1|16|2|3|3|4|4
30|Naugatuck|102|16|4|3|2||25|2|2|2|1|1
31|New Britain|553|151|18|9|7|4|189|20|6|5|16|21
32|New Haven|1,933|261|61|30|16|20|388|43|36|34|60|58
33|New London|356|48|6|3|2|3|62|9|2|9|9|10
34|Norwalk|378|39|11|3|1|3|57|8|4|13|6|8
35|Norwich town|478|63|5|5|7||80|14|7|10|20|18
36|Orange town|263|26|5|3|3|1|38|4|2|8|30|32
37|Stamford town|542|90|13|5|4|3|115|10|5|11|16|21
38|Stonington town|102|18|1|2|1||22|2|||2|
39|Stratford town|99|21|2|3|2||28|5|1|6|4|1
40|Torrington town|184|35|5|3|4|1|48|4|7|4|5|6
41|Wallingford town|126|13||1|1|1|16|4|1||2|2
42|Waterbury|931|210|28|13|8|7|266|24|16|20|23|33
43|Windham town|231|37|7|3|1|1|49|5|1|2|4|11
|DELAWARE.||||||||||||
|White|1, 166|211|33|18|9|8|279|28|15|21|36|30
44|Wilmington Colored|195|36|5|2|||43|4|4|10|14|14
|DISTRICT OF COLUMBIA.||||||||||||
45|White Washington|3,965|432|63|41|23|22|581|76|44|54|127|140
|Colored|2,090|318|57|24|13|12|424|38|34|70|110|119
|FLORIDA.||||||||||||
|White Jacksonville|640|83|8|3|3|3|100|11|6|21|20|42
46|Colored|823|107|21|.17|7|5|157|12|13|32|66|74
47|White Key West|175|31|8|1|1||41|3|1|4|11|6
|Colored|90|14|1|2||2|19|5|1|4|5|10
48|Miami White|308|46|8|2|1|1|58|1|3|5|8|13
|Colored|217|79|11|8|2|2|102|7|2|9|12|14
49|White Pensacola|229|37|10|4|3||54|3|2|6|6|13
|(Colored|180|23|7|1|1|1|33|2|1|5|12|11
50|White St.|206|8|1|1|1|1|12|3|1|2|3|2
|Petersburg Colored|61|19|2|1|||22|2|3|3|1|5
51|White Tampa|4/1|75|15|8|5|1|104|10|13|13|10|21
|Colored|224|20|3|1|||24|1|3|10|17|22
|GEORGIA.||||||||||||
52|Atlanta White|1,753|228|64|20|15|15|342|39|19|60|75|85
|Colored|,325|186|48|17|5|15|271|31|23|48|130|105
53|White Augusta*|428|62|12|4|5|2|85|10|8|3|10|16
|Colored|519|67|16|8|5|2|98|10|7|17|41|37
54|Brunswick White|50|6|2|1|||9||1|1|2|
|Colored|99|11|2||||13|1|1|6|8|6
55|Savannah White|612|76|8|6|5|6|101|9|12|10|25|25
|Colored|1,153|196|40|14|4|4|258|13|20|50|82|90

||||||DEATHS|AT AGE|OF-|||||||Deaths|
30 years.|0to3435to3940t4445 years.|years.|to 49 years.|50 to 54 years.|55 to 59 years.|60 to 64 years.|65 to 69 years.|70 to 74 :years.|75 to 79 years.|80 to 84 years.|85 to 89 years.|90 to 94 years.|95 to 99 years.|100 years and over.|at un- known age.|
264|330|385|452|540|524|618|544|520|464|304|142|48|12|2||1
25|24|30|34|36|38|45|31|11|3|6|1||||2|
9|17|12|23|27|38|51|38|44|47|34|14|10|1|||
7|7|7|6|14|7|11|21|21|21|11|12|3||||2
7|14|16|15|18|17|12|18|19|16|19|4|3|2|2||3 4
2|6|7|11|16|9|20|26|25|24|22|13|4||||5
3|11|12|18|17|20|20|32|33|29|18|6|2||||6
16|23|40|44|46|31|46|42|41|34|30|18|5|1|||7
19|15|7|13|11|18|12|13|10|10|11|4|2||||8
3|1|4|3|6|7|6|10|9|11|3|3|||||9
9|7|3|5|11|7|13|15|12|14|13|5|1|2|||10
48|45|45|40|32|42|38|38|32|17|22|9|4|1|||11
207|209|207|220|239|240|297|262|267|200|163|78|19|5|2||12
8|10|7|7|5|9|8|9|6|15|6|7|3||||13
23|32|19|35|32|42|37|37|34|27|25|13|2|||2|14
8|13|10|13|12|9|7|9|6|6|8|5|1|||1|15
6|3|3|7|6|7|10|10|10|5|5|4|1||||16
56|67|63|93|103|83|97|96|94|55|52|24|9|2||1|17
2|3|3|5|9|8|14|14|9|12|8|4||1|||18
7|16|14|16|20|24|28|20|33|32|17|10|6|3|||19
12|8|6|5|7|6|14|7|8|6|3|6|2||||20
1|4|6|7|5|4|8|4|12|8|8|3|1|1|||21
5|1|6|4|6|4|10|4|7|5|3|3|1||||22
6||4|2|7|5|4|5|6|7|4|2|1||||23
12|9|12|24|12|16|23|21|21|8|12|6|7||||24
50|70|100|102|110|117|123|122|122|105|75|46|13|7|1||25
8|2|2|6|4|16|7|11|16|14|10|4|1||||26
9|14|9|21|18|35|33|43|41|33|27|16|3|1|||27
24|22|19|38|29|37|37|45|41|31|25|8|6|3|||28
3|3|3|12|7|11|7|8|12|13|10|2|4||||29
1|8|7|4|6|3|6|10|8|6|2|4|3|1|||30
20|18|21|29|25|30|31|33|28|36|17|6|2||||31
71|88|62|124|116|132|158|151|161|133|69|38|8|3|||32
16|14|14|18|18|28|26|31|32|28|17|7|5|1|||33
11|13|15|11|23|35|32|28|36|32|25|16|3|2|||34
22|23|19|31|16|23|45|31|36|43|19|12|9||||35
